topic,term,weight,category,parent,cosine,df,is_seed
Contemporary_Manifestations,aansluit,1.0,core_problem,uitsluiting,0.8425,14,0
Contemporary_Manifestations,aansluiten,1.0,core_problem,uitsluiting,0.7948,20,0
Contemporary_Manifestations,afsluit,1.0,core_problem,uitsluiting,0.8259,2,0
Contemporary_Manifestations,afsluiten,1.0,core_problem,uitsluiting,0.799,9,0
Contemporary_Manifestations,afsluiting,1.0,core_problem,uitsluiting,0.8345,5,0
Contemporary_Manifestations,anti-racisme,1.0,core_problem,anti-zwartracisme,0.9193,3,0
Contemporary_Manifestations,anti-racistisch,1.0,core_problem,anti-zwartracisme,0.8851,3,0
Contemporary_Manifestations,anti-zwartracisme,1.0,core_problem,anti-zwartracisme,1.0,2,1
Contemporary_Manifestations,antiracisme,1.0,core_problem,anti-zwartracisme,0.8837,6,0
Contemporary_Manifestations,antiracisme-,1.0,core_problem,anti-zwartracisme,0.8819,2,0
Contemporary_Manifestations,discriminatie,1.0,core_problem,discriminatie,1.0,202,1
Contemporary_Manifestations,discriminatoire,1.0,core_problem,discriminatie,0.8767,4,0
Contemporary_Manifestations,discrimineren,1.0,core_problem,discriminatie,0.9333,8,0
Contemporary_Manifestations,discriminerend,1.0,core_problem,discriminatie,0.8909,9,0
Contemporary_Manifestations,discriminerende,1.0,core_problem,discriminatie,0.87,10,0
Contemporary_Manifestations,etnische discriminatie,1.0,core_problem,etnische discriminatie,1.0,0,1
Contemporary_Manifestations,gediscrimineerd,1.0,core_problem,discriminatie,0.8524,20,0
Contemporary_Manifestations,gediscrimineerde,1.0,core_problem,discriminatie,0.875,2,0
Contemporary_Manifestations,huidskleur,1.0,core_problem,huidskleur,1.0,37,1
Contemporary_Manifestations,insluiting,1.0,core_problem,uitsluiting,0.8129,6,0
Contemporary_Manifestations,institutioneel racisme,1.0,core_problem,institutioneel racisme,1.0,0,1
Contemporary_Manifestations,non-discriminatie,1.0,core_problem,discriminatie,0.8404,8,0
Contemporary_Manifestations,opsluiting,1.0,core_problem,uitsluiting,0.8403,2,0
Contemporary_Manifestations,racism,1.0,core_problem,racisme,0.8113,5,0
Contemporary_Manifestations,racisme,1.0,core_problem,racisme,1.0,285,1
Contemporary_Manifestations,racist,1.0,core_problem,racistische,0.7901,2,0
Contemporary_Manifestations,racistisch,1.0,core_problem,racistisch,1.0,27,1
Contemporary_Manifestations,racistische,1.0,core_problem,racistische,1.0,61,1
Contemporary_Manifestations,rassendiscriminatie,1.0,core_problem,rassendiscriminatie,1.0,5,1
Contemporary_Manifestations,sluiten,1.0,core_problem,uitsluiting,0.7713,51,0
Contemporary_Manifestations,sluitend,1.0,core_problem,uitsluiting,0.7524,5,0
Contemporary_Manifestations,sluiting,1.0,core_problem,uitsluiting,0.8396,5,0
Contemporary_Manifestations,structureel racisme,1.0,core_problem,structureel racisme,1.0,0,1
Contemporary_Manifestations,systematisch racisme,1.0,core_problem,systematisch racisme,1.0,0,1
Contemporary_Manifestations,systemisch racisme,1.0,core_problem,systemisch racisme,1.0,0,1
Contemporary_Manifestations,uitreding,1.0,core_problem,uitsluiting,0.7513,2,0
Contemporary_Manifestations,uitsluiten,1.0,core_problem,uitsluiting,0.7657,6,0
Contemporary_Manifestations,uitsluiting,1.0,core_problem,uitsluiting,1.0,48,1
Contemporary_Manifestations,uitsluitingsmechanismen,1.0,core_problem,uitsluitingsmechanismen,1.0,1,1
Contemporary_Manifestations,uitsluitsel,1.0,core_problem,uitsluiting,0.7966,3,0
Contemporary_Manifestations,afrikaanse,0.95,strong_problem,afro-surinaamse,0.6893,235,0
Contemporary_Manifestations,afro-,0.95,strong_problem,afro-surinamers,0.6949,9,0
Contemporary_Manifestations,afro-afstam-,0.95,strong_problem,afro-caribische,0.6541,2,0
Contemporary_Manifestations,afro-amerikaanse,0.95,strong_problem,afro-caribische,0.7199,6,0
Contemporary_Manifestations,afro-antillianen,0.95,strong_problem,afro-antillianen,1.0,10,1
Contemporary_Manifestations,afro-caraïbische,0.95,strong_problem,afro-caribische,0.8929,3,0
Contemporary_Manifestations,afro-caribische,0.95,strong_problem,afro-caribische,1.0,3,1
Contemporary_Manifestations,afro-curaçaose,0.95,strong_problem,afro-caribische,0.6782,2,0
Contemporary_Manifestations,afro-nederlanders,0.95,strong_problem,afro-nederlanders,1.0,4,1
Contemporary_Manifestations,afro-nederlandse,0.95,strong_problem,afro-caribische,0.7039,3,0
Contemporary_Manifestations,afro-surinaamse,0.95,strong_problem,afro-surinaamse,1.0,10,1
Contemporary_Manifestations,afro-surinamers,0.95,strong_problem,afro-surinamers,1.0,13,1
Contemporary_Manifestations,amerikaans,0.95,strong_problem,etnische,0.6777,3,0
Contemporary_Manifestations,amerikaansche,0.95,strong_problem,afro-surinaamse,0.7171,3,0
Contemporary_Manifestations,amerikaanse,0.95,strong_problem,etnische,0.6759,74,0
Contemporary_Manifestations,amerikanen,0.95,strong_problem,etnische,0.6726,14,0
