topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action
Structural_Continuity_Neocolonial,doorwerkingen,1.0,83,1.0,core,doorwerkingen,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,doorwerking,1.0,75,1.0,core,doorwerking,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,erfenis,1.0,52,1.0,core,erfenis,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,erfenissen,1.0,29,1.0,core,erfenissen,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,slavernijerfenis,1.0,1,1.0,core,slavernijerfenis,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,structurele,1.0,94,1.0,core,structurele,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,structureel,1.0,79,1.0,core,structureel,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,neokoloniale,1.0,2,1.0,core,neokoloniale,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,postkoloniale,1.0,18,1.0,core,postkoloniale,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,onderontwikkeling,1.0,2,1.0,core,onderontwikkeling,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,voortdurende,1.0,34,0.9,strongly_related,voortdurende,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,voortdurend,1.0,39,0.9,strongly_related,voortdurend,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,doorwerken,1.0,10,0.9,strongly_related,doorwerken,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,doorwerkt,1.0,2,0.9,strongly_related,doorwerkt,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,hedendaagse,1.0,78,0.9,strongly_related,hedendaagse,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,diepgewortelde,1.0,8,0.9,strongly_related,diepgewortelde,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,chronische,1.0,17,0.9,strongly_related,chronische,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,marginalisatie,1.0,4,0.9,strongly_related,marginalisatie,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,gemarginaliseerde,1.0,12,0.9,strongly_related,gemarginaliseerde,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,gemarginaliseerd,1.0,4,0.9,strongly_related,gemarginaliseerd,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,uitbuiting,1.0,30,0.9,strongly_related,uitbuiting,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,achterstandspositie,1.0,2,0.9,strongly_related,achterstandspositie,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,extractie,1.0,2,0.9,strongly_related,extractie,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,extractieve,1.0,1,0.9,strongly_related,extractieve,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,extractiekapitalisme,1.0,1,0.9,strongly_related,extractiekapitalisme,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,afhankelijkheid,1.0,17,0.9,strongly_related,afhankelijkheid,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,afhankelijkheidsrelatie,1.0,3,0.9,strongly_related,afhankelijkheidsrelatie,1,KEEP,,,0,KEEP,
Structural_Continuity_Neocolonial,emigratie,1.0,15,0.9,strongly_related,emigratie,1,KEEP,,,0,KEEP,
