topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action,phase4_decision,phase4_action,phase4_old_category,phase4_old_weight,phase5_adjustment,phase5_reason,phase2_manual_decision,phase2_manual_reason
Contemporary_Manifestations,racisme,1.0,285,1.0,core_problem,racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,anti-zwartracisme,1.0,2,1.0,core_problem,anti-zwartracisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,racistische,1.0,61,1.0,core_problem,racistische,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,racistisch,1.0,27,1.0,core_problem,racistisch,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,discriminatie,1.0,202,1.0,core_problem,discriminatie,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,rassendiscriminatie,1.0,5,1.0,core_problem,rassendiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,etnische discriminatie,1.0,0,1.0,core_problem,etnische discriminatie,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,uitsluiting,1.0,48,1.0,core_problem,uitsluiting,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,uitsluitingsmechanismen,1.0,1,1.0,core_problem,uitsluitingsmechanismen,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,huidskleur,1.0,37,1.0,core_problem,huidskleur,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,institutioneel racisme,1.0,0,1.0,core_problem,institutioneel racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,structureel racisme,1.0,0,1.0,core_problem,structureel racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,systematisch racisme,1.0,0,1.0,core_problem,systematisch racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,systemisch racisme,1.0,0,1.0,core_problem,systemisch racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,,
Contemporary_Manifestations,etnische,1.0,63,0.95,strong_problem,etnische,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-surinamers,1.0,13,0.95,strong_problem,afro-surinamers,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-caribische,1.0,3,0.95,strong_problem,afro-caribische,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
Contemporary_Manifestations,afro-surinaamse,1.0,10,0.95,strong_problem,afro-surinaamse,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,,
