topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action,phase4_decision,phase4_action,phase4_old_category,phase4_old_weight,phase5_adjustment,phase5_reason,weight_bin
Contemporary_Manifestations,racisme,1.0,285,1.0,core,racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,anti-zwartracisme,1.0,2,1.0,core,anti-zwartracisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,racistische,1.0,61,1.0,core,racistische,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,racistisch,1.0,27,1.0,core,racistisch,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,discriminatie,1.0,202,1.0,core,discriminatie,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,rassendiscriminatie,1.0,5,1.0,core,rassendiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,etnische discriminatie,1.0,0,1.0,core,etnische discriminatie,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,uitsluiting,1.0,48,1.0,core,uitsluiting,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,uitsluitingsmechanismen,1.0,1,1.0,core,uitsluitingsmechanismen,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,huidskleur,1.0,37,1.0,core,huidskleur,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,institutioneel racisme,1.0,0,1.0,core,institutioneel racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,structureel racisme,1.0,0,1.0,core,structureel racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,systematisch racisme,1.0,0,1.0,core,systematisch racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,systemisch racisme,1.0,0,1.0,core,systemisch racisme,1,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,etnische,1.0,63,0.9,strongly_related,etnische,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-surinamers,1.0,13,0.9,strongly_related,afro-surinamers,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-caribische,1.0,3,0.9,strongly_related,afro-caribische,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-surinaamse,1.0,10,0.9,strongly_related,afro-surinaamse,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-antillianen,1.0,10,0.9,strongly_related,afro-antillianen,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afro-nederlanders,1.0,4,0.9,strongly_related,afro-nederlanders,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,zwarten,1.0,29,0.9,strongly_related,zwarten,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,anti-zwart,1.0,17,0.9,strongly_related,anti-zwart,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,discriminatietoets,1.0,33,0.9,strongly_related,discriminatietoets,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stagediscriminatie,1.0,5,0.9,strongly_related,stagediscriminatie,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stage-discriminatie,1.0,2,0.9,strongly_related,stage-discriminatie,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,arbeidsdiscriminatie,1.0,2,0.9,strongly_related,arbeidsdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,discriminatiegronden,1.0,4,0.9,strongly_related,discriminatiegronden,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,vooroordeel,1.0,6,0.9,strongly_related,vooroordeel,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stereotypen,1.0,9,0.9,strongly_related,stereotypen,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stereotyperingen,1.0,9,0.9,strongly_related,stereotyperingen,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stereotyperende,1.0,4,0.9,strongly_related,stereotyperende,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
