topic,term,cosine,df,weight,category,parent,is_seed
Contemporary_Manifestations,racisme,1.0,285,1.0,core,racisme,1
Contemporary_Manifestations,anti-zwartracisme,1.0,2,1.0,core,anti-zwartracisme,1
Contemporary_Manifestations,racistische,1.0,61,1.0,core,racistische,1
Contemporary_Manifestations,racistisch,1.0,27,1.0,core,racistisch,1
Contemporary_Manifestations,discriminatie,1.0,202,1.0,core,discriminatie,1
Contemporary_Manifestations,rassendiscriminatie,1.0,5,1.0,core,rassendiscriminatie,1
Contemporary_Manifestations,etnische discriminatie,1.0,0,1.0,core,etnische discriminatie,1
Contemporary_Manifestations,uitsluiting,1.0,48,1.0,core,uitsluiting,1
Contemporary_Manifestations,uitsluitingsmechanismen,1.0,1,1.0,core,uitsluitingsmechanismen,1
Contemporary_Manifestations,huidskleur,1.0,37,1.0,core,huidskleur,1
Contemporary_Manifestations,institutioneel racisme,1.0,0,1.0,core,institutioneel racisme,1
Contemporary_Manifestations,structureel racisme,1.0,0,1.0,core,structureel racisme,1
Contemporary_Manifestations,systematisch racisme,1.0,0,1.0,core,systematisch racisme,1
Contemporary_Manifestations,systemisch racisme,1.0,0,1.0,core,systemisch racisme,1
Contemporary_Manifestations,etnische,1.0,63,0.9,strongly_related,etnische,1
Contemporary_Manifestations,afro-surinamers,1.0,13,0.9,strongly_related,afro-surinamers,1
Contemporary_Manifestations,afro-caribische,1.0,3,0.9,strongly_related,afro-caribische,1
Contemporary_Manifestations,afro-surinaamse,1.0,10,0.9,strongly_related,afro-surinaamse,1
Contemporary_Manifestations,afro-antillianen,1.0,10,0.9,strongly_related,afro-antillianen,1
Contemporary_Manifestations,afro-nederlanders,1.0,4,0.9,strongly_related,afro-nederlanders,1
Contemporary_Manifestations,zwarten,1.0,29,0.9,strongly_related,zwarten,1
Contemporary_Manifestations,anti-zwart,1.0,17,0.9,strongly_related,anti-zwart,1
Contemporary_Manifestations,discriminatietoets,1.0,33,0.9,strongly_related,discriminatietoets,1
Contemporary_Manifestations,stagediscriminatie,1.0,5,0.9,strongly_related,stagediscriminatie,1
Contemporary_Manifestations,stage-discriminatie,1.0,2,0.9,strongly_related,stage-discriminatie,1
Contemporary_Manifestations,arbeidsdiscriminatie,1.0,2,0.9,strongly_related,arbeidsdiscriminatie,1
Contemporary_Manifestations,discriminatiegronden,1.0,4,0.9,strongly_related,discriminatiegronden,1
Contemporary_Manifestations,vooroordeel,1.0,6,0.9,strongly_related,vooroordeel,1
Contemporary_Manifestations,stereotypen,1.0,9,0.9,strongly_related,stereotypen,1
Contemporary_Manifestations,stereotyperingen,1.0,9,0.9,strongly_related,stereotyperingen,1
Contemporary_Manifestations,stereotyperende,1.0,4,0.9,strongly_related,stereotyperende,1
Contemporary_Manifestations,racismeprobleem,1.0,3,0.9,strongly_related,racismeprobleem,1
Contemporary_Manifestations,systematisch,1.0,30,0.9,strongly_related,systematisch,1
Contemporary_Manifestations,systematische,1.0,23,0.9,strongly_related,systematische,1
Contemporary_Manifestations,systemisch,1.0,6,0.9,strongly_related,systemisch,1
Contemporary_Manifestations,systemische,1.0,7,0.9,strongly_related,systemische,1
Contemporary_Manifestations,institutioneel,1.0,57,0.9,strongly_related,institutioneel,1
Contemporary_Manifestations,racismevormen,1.0,2,0.7,moderately_related,racismevormen,1
Contemporary_Manifestations,xenofobie,1.0,2,0.7,moderately_related,xenofobie,1
Contemporary_Manifestations,intolerantie,1.0,2,0.7,moderately_related,intolerantie,1
Contemporary_Manifestations,genderdiscriminatie,1.0,1,0.7,moderately_related,genderdiscriminatie,1
Contemporary_Manifestations,zwangerschapsdiscriminatie,1.0,2,0.7,moderately_related,zwangerschapsdiscriminatie,1
Contemporary_Manifestations,leeftijdsdiscriminatie,1.0,2,0.7,moderately_related,leeftijdsdiscriminatie,1
Contemporary_Manifestations,uitsluitingswetten,1.0,1,0.7,moderately_related,uitsluitingswetten,1
Contemporary_Manifestations,raciaal-etnische,1.0,2,0.7,moderately_related,raciaal-etnische,1
Contemporary_Manifestations,huidskleuren,1.0,1,0.7,moderately_related,huidskleuren,1
Contemporary_Manifestations,discriminatiezaken,1.0,3,0.7,moderately_related,discriminatiezaken,1
Contemporary_Manifestations,discriminatiemelding,1.0,2,0.7,moderately_related,discriminatiemelding,1
