chunk_uid,tokens
0cd00362:00000,"['staat', 'slavernij', 'aandeel', 'praktijken', 'wereldwijd', 'slavernij', 'stand', 'inzicht', 'berouw', 'decennialang', 'proces', 'gang', 'gebracht', 'bevorderd', 'activisme', 'laatste', 'jaren', 'stroomversnelling', 'werden', 'tweede', 'kamer', 'juli', 'liefst', 'zes', 'moties', 'ingediend', 'betrekking', 'hadden', 'betreffende', 'moties', 'opgeroepen', 'excuses', 'bieden', 'slavernijverleden', 'juli', 'nationale', 'herdenkingsdag', 'feestdag', 'aangenomen', 'motie', 'ceder', 'anderen', 'verzocht', 'onafhankelijk', 'onderzoek', 'voeren', 'nederlandse', 'inzicht', 'krijgen', 'slavernijverleden', 'doorwerkingen', 'ervan', 'vaststellen', 'betrokkenen', 'welke', 'uiteenlopende', 'effecten', 'slavernij', 'komen', 'proces', 'maatschappelijke', 'heid', 'binnen', 'koninkrijk', 'nederlanden', 'staat', 'nederlandse', 'koloniale', 'slavernijverleden', 'doorwerkingen', 'resultaat', 'opgenomen', 'teksten', 'laten', 'zien', 'nederlandse', 'staat', 'voorlopers', 'betrokken', 'koloniale', 'verleden', 'staat', 'stil', 'doorwerking', 'ervan', 'boek', 'brengt', 'bestaande', 'kennis', 'slavernijverleden', 'doorwerkingen', 'weegt', 'houdt', 'waarom', 'weten', 'sommige', 'aspecten', 'slavernijverleden', 'werkingen', 'eigenlijk', 'zoveel', 'boek', 'alleen', 'zichtbaar', 'maken', 'kennis', 'relevante', 'vervolgvragen', 'onderzoeksonderwerpen', 'beter', 'inzicht', 'komen', 'nederlandse', 'koloniale', 'staat', 'slavernij', 'verkent', 'waar', 'nederlandse', 'koloniale', 'betrokkenheid', 'slavenhandel', 'atlantisch', 'sische', 'archipel', 'indische', 'oceaan', 'nederland', 'slavernij', 'kwam', 'grote', 'delen', 'nederlandse', 'koloniale', 'rijk', 'zeer', 'lange', 'gebieden', 'verschillende', 'periodes', 'samen', 'onderzoeken', 'overeenkomsten', 'verschillen', 'zorgt', 'aanpak', 'ervoor', 'verbindingen', 'uitwisselingen', 'geografie', 'doorwerkingen', 'tijd', 'zichtbaar']"
0cd00362:00001,"['boek', 'biedt', 'veelgevraagde', 'nieuwe', 'fundamentele', 'vervolgonderzoeken', 'nodig', 'bestudering', 'verschillende', 'aspecten', 'se', 'koloniale', 'slavernijverleden', 'doorwerkingen', 'staat', 'slavernij', 'onafhankelijk', 'onderzoek', 'rol', 'huis', 'oranje-nassau', 'koloniale', 'postkoloniale', 'onderzoeken', 'midden', 'nederlandse', 'samenleving', 'gevolg', 'geven', 'mede', 'vorm', 'discussies', 'viering', 'sinterklaas', 'rol', 'piet', 'gebruik', 'gouden', 'opkomst', 'keti', 'black', 'lives', 'weging', 'racisme', 'etnisch', 'nederlandse', 'koloniale', 'slavernijverleden', 'zeker', 'alleen', 'caribische', 'delen', 'nederlandse', 'koninkrijk', 'slavernijverleden', 'zoals', 'tijdens', 'jaarlijkse', 'herdenking', 'curaçao', 'onderdeel', 'toenemende', 'discussies', 'rondom', 'herstelbetaling', 'aruba', 'sint-maarten', 'decennialang', 'proces', 'voorafgegaan', 'waarin', 'doorwerking', 'daarvan', 'caribische', 'suriname', 'indonesië', 'politieke', 'maatschappelijke', 'zin', 'aandacht', 'afgelopen', 'jaren', 'betrokkenen', 'verleden', 'medestanders', 'nadrukkelijk', 'agenda', 'nederlandse', 'staat', 'ber', 'bood', 'kabinet', 'publiekelijk', 'excuses', 'handelen', 'nederlandse', 'staat', 'postuum', 'alle', 'slaafgemaakten', 'wereldwijd', 'handelen', 'dochters', 'nazaten', 'afgelopen', 'decennia', 'name', 'tijdperk', 'excuses', 'onverminderd', 'relevant', 'vanwege', 'gevaar', 'huidige', 'stroomversnelling', 'belangrijke', 'inzichten', 'hoofd', 'dadendrang', 'gebaseerd', 'eenzijdige', 'oppervlakkige', 'blijft', 'belang', 'zorgvuldig', 'kijken', 'wel', 'zichtbaar', 'maken', 'lang', 'goed', 'genoeg', 'onderzocht', 'stellige', 'uitspraken']"
0cd00362:00002,"['staat', 'slavernij', 'hopelijk', 'bijdragen', 'inzicht', 'misschien', 'creëren', 'ruimte', 'herstel', 'heling', 'delen', 'huidige', 'nederlandse', 'weten', 'saba', 'gen', 'betekenis', 'indonesië', 'landen', 'nederlandse', 'koloniale', 'slavernijverleden', 'focus', 'staat', 'slavernij', 'ligt', 'nederlandse', 'koloniale', 'zeggen', 'boek', 'richt', 'koloniale', 'koloniale', 'verleden', 'doorwerkingen', 'daarvan', 'koloniale', 'grens', 'ligt', 'einde', 'koloniale', 'hoofdstukken', 'vinden', 'referenties', 'moderne', 'bedoelde', 'slavernij', 'gedefinieerd', 'extreme', 'vorm', 'individuele', 'onvrijheid', 'gedwongen', 'arbeid', 'waarin', 'zowel', 'persoon', 'arbeid', 'slaafgemaakte', 'eigendom', 'systemen', 'slavernij', 'bestaan', 'verschillende', 'vormen', 'duizenden', 'jaren', 'vele', 'plekken', 'verwijzing', 'koloniale', 'verleden', 'vormen', 'slavernij', 'bedoeld', 'voortkwamen', 'europese', 'koloniale', 'expansie', 'vijftiende', 'einde', 'tiende', 'leidde', 'ongekende', 'schaalvergroting', 'handel', 'waarbij', 'aziaten', 'anderen', 'eigendom', 'werden', 'gemaakt', 'goederen', 'werden', 'verhandeld', 'europese', 'koloniale', 'overheden', 'georganiseerd', 'juridisch', 'koloniale', 'gebieden', 'bewind', 'nederlandse', 'staat', 'stonden', 'werden', 'grote', 'schaal', 'mensen', 'vrijheid', 'slaaf', 'gemaakt', 'arbeid', 'slavernij', 'bestond', 'tie', 'vormen', 'gedwongen', 'koloniale', 'overheden', 'werden', 'kenmerkend', 'koloniale', 'slavernij', 'slaafgemaakte', 'mensen', 'eigendom', 'werden', 'ander', 'konden', 'gekocht', 'konden', 'rechten', 'uitoefenen', 'den', 'zeggenschap', 'lijf', 'status', 'leven', 'slavernij', 'principe', 'levenslang', 'ging', 'moeder', 'vorm', 'koloniale', 'slavernij', 'engels', 'genoemd', 'roerend']"
0cd00362:00003,"['werking', 'gevolgen', 'slavernij', 'slavenhandel', 'nauw', 'verweven', 'bredere', 'structuren', 'lisme', 'waarmee', 'nederlandse', 'overheid', 'verschillende', 'delen', 'wereld', 'macht', 'betrokkenheid', 'nederlandse', 'staat', 'voorlopers', 'slavernijverleden', 'staat', 'slavernij', 'steeds', 'verkend', 'relatie', 'geschiedenis', 'daarnaast', 'geschiedenis', 'doorwerkingen', 'slavernij', 'elkaar', 'impact', 'slavernij', 'cultuur', 'samenleving', 'bijzonder', 'slaafgemaakten', 'nen', 'begon', 'tijdens', 'totslaafmaking', 'versterkt', 'tijdens', 'werkte', 'daarna', 'overal', 'waar', 'boek', 'spreken', 'bedoelen', 'tevens', 'voorlopers', 'nederlandse', 'slavernijverleden', 'staat', 'slavernij', 'doorwerkingen', 'staat', 'slavernij', 'twee', 'manieren', 'ten', 'eerste', 'manieren', 'waarop', 'koloniale', 'slavernij', 'cultureel', 'bestuurlijk', 'invloed', 'uitgeoefend', 'mens', 'samenleving', 'vanaf', 'periode', 'wettelijk', 'toegestane', 'slavenhandel', 'slavernij', 'twintigste', 'eenentwintigste', 'ten', 'tweede', 'betrekking', 'hedendaagse', 'omgang', 'koloniale', 'langdurige', 'gevolgen', 'voortdurende', 'effecten', 'beide', 'genoemde', 'vormen', 'doorwerking', 'afterlives', 'slavernij', 'duidelijk', 'even', 'vaak', 'verweven', 'geraakt', 'gen', 'aspecten', 'complexiteit', 'wisselwerking', 'tussen', 'geschiedenis', 'kolonialisme', 'doorwerking', 'vormt', 'boek', 'rode', 'grote', 'langdurige', 'stiltes', 'ooit', 'bestonden', 'rond', 'latere', 'gevolgen', 'geschiedenissen', 'publieke', 'domein', 'eindelijk', 'doorbroken', 'inzet', 'activisten', 'kringen', 'nazaten', 'slavernijverleden', 'koloniaal', 'wetenschappers', 'verdiepen', 'verbreden', 'bewustwording', 'begrip', 'ten', 'aanzien', 'slavernij', 'effecten', 'proces', 'tijd', 'samenleving', 'staat', 'betreft', 'ontwikkeling', 'verwerking', 'omgang', 'verleden', 'doorwerkingen', 'opzichten', 'slechts']"
0cd00362:00004,"['terminologie', 'bestuderen', 'koloniale', 'verleden', 'cruciaal', 'tieven', 'terminologie', 'kritisch', 'zoals', 'onderscheid', 'slavenhandel', 'slavernij', 'werden', 'lijk', 'mogelijk', 'gemaakt', 'koloniaal', 'rechtssysteem', 'legitimiteit', 'verleende', 'maatschappelijke', 'structuur', 'waarin', 'structureel', 'waardige', 'posities', 'tussen', 'kolonisator', 'gekoloniseerde', 'koloniale', 'recht', 'verschafte', 'juridische', 'onderbouwing', 'maatschappelijke', 'ordening', 'waarin', 'slaafgemaakten', 'volwaardige', 'mensen', 'werden', 'beschouwd', 'status', 'persoon', 'burger', 'goederen', 'werden', 'gekocht', 'aanname', 'slavernij', 'wettelijke', 'afschaffing', 'ervan', 'vanuit', 'juridisch', 'punt', 'bezien', 'toegestaan', 'daarom', 'context', 'verhult', 'koloniale', 'rechtssysteem', 'uitstek', 'machtsmiddelen', 'waarmee', 'koloniale', 'organi-', 'saties', 'optraden', 'namens', 'nederlandse', 'staat', 'levens', 'mensen', 'verregaand', 'controleerden', 'slavernij', 'definieerden', 'koloniale', 'overheden', 'bezit', 'mocht', 'gereduceerd', 'koloniale', 'corvee-', 'cultuurstelsels', 'bepaald', 'koloniale', 'onderdaan', 'dwangarbeid', 'nadat', 'cultuurstelsel', 'later', 'zogenaamde', 'herendiensten', 'werden', 'verschafte', 'koloniale', 'juridische', 'systeem', 'zodoende', 'listische', 'onderbouwing', 'geracialiseerde', 'ongelijkheid', 'tussen', 'gewelddadige', 'geschiedenissen', 'slavernij', 'kolonialisme', 'aanduidingen', 'begrippen', 'gangbaar', 'koloniaal', 'stempel', 'perspectief', 'kolonisator', 'machthebbende', 'vaak', 'doorslaggevend', 'wijze', 'waarop', 'geschreven', 'talen', 'leefwijzen', 'informele', 'documenten', 'koloniale', 'archieven', 'geldt', 'muziek', 'vormen', 'per', 'definitie', 'afspiegeling', 'juist', 'beelden', 'reflecteren', 'ten', 'dienste', 'stonden', 'koloniale']"
0cd00362:00005,"['woorden', 'binnen', 'koloniaal', 'bestel', 'vanuit', 'dekoloniaal', 'perspectief', 'zichtbaar', 'bepaald', 'neutrale', 'problematische', 'termen', 'vanwege', 'verregaand', 'denigrerende', 'bijzonder', 'subjectieve', 'boek', 'gestreefd', 'gebruik', 'woorden', 'koloniale', 'connotaties', 'min', 'mogelijk', 'reproduceren', 'eigen', 'perspectief', 'zelfbenoeming', 'landen', 'zoveel', 'mogelijk', 'gedaan', 'volle', 'besef', 'nederlandse', 'taal', 'ontwikkeling', 'woorden', 'nauw', 'verweven', 'perspectieven', 'posities', 'daarin', 'ruimte', 'geven', 'diversiteit', 'betreft', 'achtergrond', 'benadering', 'redactie', 'keuze', 'hanteren', 'terminologie', 'auteurs', 'staat', 'slavernij', 'daardoor', 'verschillen', 'schrijfstijl', 'woordkeuze', 'diversiteit', 'levert', 'afwisselend', 'palet', 'daarmee', 'tevens', 'verschillende', 'perspectieven', 'soms', 'expliciet', 'soms', 'genuanceerd', 'gelden', 'ten', 'aanzien', 'verleden', 'vrijwel', 'hele', 'boek', 'term', 'daarin', 'tegenstelling', 'woord', 'erkenning', 'besloten', 'ligt', 'dwang', 'waaraan', 'mensen', 'werden', 'onderworpen', 'natuurlijke', 'positie', 'situatie', 'hoewel', 'afgelopen', 'jaren', 'levendige', 'felle', 'discussies', 'gevoerd', 'wens', 'noodzaak', 'staat', 'slavernij', 'term', 'juist', 'lijkt', 'balans', 'inmiddels', 'doorgeslagen', 'ten', 'faveure', 'hetzelfde', 'geldt', 'woord', 'alternatief', 'velen', 'gevoelswaarde', 'ten', 'onrechte', 'veronderstelde', 'zuiverheid', 'superioriteit', 'journalistieke', 'academische', 'name', 'verenigde', 'maken', 'sommigen', 'onderscheid', 'tussen']"
0cd00362:00006,"['persagentschap', 'associated', 'press', 'beeld', 'gekozen', 'zwart', 'verwijzen', 'etnische', 'culturele', 'gebaseerd', 'gedeeld', 'besef', 'identiteit', 'gemeenschap', 'personen', 'identificeren', 'inbegrip', 'degenen', 'afrikaanse', 'diaspora', 'inwoners', 'zwart', 'geschreven', 'kleine', 'duidt', 'ap', 'mee', 'kleur', 'zwart', 'nederland', 'discussie', 'hierover', 'nauwelijks', 'staat', 'slavernij', 'beide', 'wijzen', 'terug', 'concreet', 'boek', 'omgang', 'geografische', 'aanduidingen', 'waarvan', 'wortels', 'terug', 'voeren', 'koloniale', 'gebruik', 'saba', 'sommige', 'auteurs', 'gebruiken', 'doelbewust', 'perspectief', 'eerder', 'genoemde', 'ruimte', 'auteurs', 'geboden', 'houdt', 'staat', 'slavernij', 'bevolking', 'weer', 'bevolking', 'ten', 'slotte', 'gebruik', 'termen', 'luistert', 'terwijl', 'sommigen', 'term', 'problematisch', 'koloniale', 'zienswijze', 'gebruiken', 'anderen', 'datzelfde', 'begrip', 'juist', 'bewust', 'zichtbaarheid', 'bepaalde', 'bevolkingsgroepen', 'ren', 'politieke', 'strijd', 'keuze', 'specifieke', 'termen', 'hangt', 'samen', 'ligt', 'gebruik', 'term', 'buiten', 'context', 'slachtoffers', 'naziregime', 'tegelijkertijd', 'onmiskenbaar', 'komst', 'europese', 'nederlandse', 'kolonisatoren', 'noord-', 'zuid-amerika', 'azië', 'gepaard', 'ging', 'veroveringen', 'verdrijven', 'lokale', 'bewoners', 'én', 'systematische', 'ontvolkingen', 'ten', 'behoeve', 'productie', 'koloniale', 'daarom', 'uitmoorden', 'generaal', 'jan', 'pieterszoon', 'coen', 'vrijwel', 'gehele', 'bevolking', 'staat', 'slavernij', 'bestaand', 'werk']"
0cd00362:00007,"['verzoek', 'ingegeven', 'besef', 'zeker', 'gaat', 'sensitieve', 'geschiedenis', 'koloniale', 'slavernijverleden', 'woorden', 'groot', 'belang', 'tekort', 'waar', 'tekst', 'domein', 'kunst', 'perspectieven', 'slavernijverleden', 'korte', 'toelichting', 'waarin', 'kunstenaars', 'creatie', 'reflecteren', 'vinden', 'betreffende', 'negenentwintig', 'hoofdstukken', 'verkennen', 'belangrijke', 'deelterreinen', 'doorwerking', 'verleden', 'nederlandse', 'koloniale', 'wetenschap', 'deelterreinen', 'gelijke', 'mate', 'waar', 'onderzoek', 'gedaan', 'belang', 'stand', 'kennis', 'kritisch', 'bevraagd', 'mate', 'gehanteerde', 'mogelijke', 'blinde', 'vlekken', 'onderontwikkelde', 'deelgebieden', 'waar', 'weinig', 'onderzoek', 'gedaan', 'soms', 'belangrijker', 'bespreken', 'waarom', 'kennis', 'ontwikkeld', 'welke', 'veronderstellingen', 'rond', 'bepaalde', 'welke', 'inzichten', 'afgeleid', 'resultaten', 'wel', 'beschikbaar', 'belangrijke', 'alex', 'stipriaan', 'nederlandse', 'wetenschap', 'overheid', 'slavernijverleden', 'doorwerkingen', 'publiceerde', 'anton', 'kom', 'inmiddels', 'beroemde', 'wij', 'slaven', 'vlak', 'daarvoor', 'korte', 'gevangenschap', 'verbannen', 'suriname', 'overheidswege', 'zeer', 'tegengewerkt', 'uiteindelijk', 'getraumatiseerd', 'enige', 'tijd', 'inrichting', 'moest', 'drie', 'generaties', 'kom', 'toegevoegd', 'nationale', 'historische', 'canon', 'commissie', 'canon', 'samenstelt', 'benoemd', 'overheid', 'canon', 'leidend', 'lijkt', 'daarmee', 'overheid', 'inclusieve', 'houding', 'ten', 'slavernijverleden', 'ontwikkelen', 'weg', 'daarheen', 'zat', 'vol', 'haarspeldbochten', 'net', 'goed', 'ontwikkeling', 'manier', 'waarop', 'nederlandse', 'overheid', 'omgegaan', 'slavernijverleden', 'doorwerkingen', 'daarvan', 'den', 'getypeerd', 'betrokken', 'sterk', 'afhankelijk', 'politieke']"
0cd00362:00008,"['krampachtige', 'aanloop', 'excuses', 'slavernijverleden', 'nederlandse', 'regering', 'december', 'paternalistische', 'houding', 'aannam', 'besluit', 'daarover', 'uiteindelijk', 'daarvan', 'ultieme', 'tegelijk', 'kijken', 'overheden', 'wetenschap', 'zeggen', 'wetenschap', 'bestaat', 'verandert', 'bovendien', 'debat', 'vormt', 'eenmaal', 'schap', 'overheid', 'nederland', 'twintigste', 'eenentwintigste', 'eeuw', 'verhouden', 'slavernijverleden', 'daarom', 'voudig', 'beschrijven', 'vooral', 'gebaat', 'definiëring', 'staat', 'slavernij', 'geschiedwetenschap', 'nederlands', 'slavernijverleden', 'afgespeeld', 'azië', 'geïntegreerd', 'grote', 'lokale', 'aandacht', 'historici', 'verleden', 'zeer', 'onevenwichtig', 'gebieden', 'verdeeld', 'loop', 'tijd', 'sterk', 'inhoudelijke', 'focus', 'jaren', 'zeventig', 'slavernij', 'nederlandse', 'ving', 'verband', 'gebracht', 'west-indische', 'compagnie', 'soms', 'verenigde', 'oost-indische', 'compagnie', 'wic', 'mensenhandel', 'lang', 'kernactiviteiten', 'koloniën', 'wic-beheer', 'geheel', 'slavenarbeid', 'gebaseerd', 'slaafgemaakten', 'vormden', 'meerderheid', 'daardoor', 'geschiedschrijving', 'mensenhandel', 'slavernij', 'vooral', 'gekoppeld', 'atlantisch', 'voc', 'bleef', 'slavernij', 'vooral', 'soort', 'voetnoot', 'verder', 'glorieuze', 'geschiedenis', 'klein', 'landje', 'groot', 'bovendien', 'lang', 'gedacht', 'slavernij', 'aziatische', 'gebied', 'vooral', 'aangelegenheid', 'lokale', 'bevolking', 'alleen', 'king', 'indonesische', 'banda-eilanden', 'slavenarbeid', 'binnen', 'trans-atlantische', 'driehoek', 'handel', 'vaart', 'tussen', 'amerika', 'meeste', 'historische', 'aandacht', 'uitgegaan', 'slavernij']"
0cd00362:00009,"['aandacht', 'kortstondige', 'nederlandse', 'aanwezigheid', 'nauwelijks', 'slavernij', 'nederlandse', 'nieuw-nederland', 'lands', 'koloniaal', 'gebied', 'rond', 'new', 'essequibo', 'berbice', 'huidige', 'westelijk', 'afrika', 'kwam', 'alleen', 'beeld', 'inschepingsplaats', 'nederland', 'verhaal', 'alleen', 'hoofdkantoor', 'wic', 'voc', 'stapelmarkt', 'tropische', 'jaren', 'tachtig', 'ging', 'geschiedschrijving', 'vooral', 'economische', 'daarmee', 'samenhangend', 'ke', 'bezien', 'vanuit', 'volkomen', 'neerlandocentrisch', 'slavernij', 'betrokken', 'gebieden', 'verteld', 'geschiedenis', 'slaafgemaakten', 'vormden', 'één', 'economisch-politieke', 'afschaffing', 'thema', 'waar', 'vanaf', 'jaren', 'vijftig', 'sporadisch', 'vanuit', 'nederlandocentrisch', 'perspectief', 'twee', 'zeer', 'vroege', 'uitzonderingen', 'regel', 'kwamen', 'actuele', 'vraagstukken', 'werk', 'anton', 'kom', 'jaren', 'dertig', 'schrift', 'rudolf', 'lier', 'historicus', 'johan', 'bijna', 'vier', 'decennia', 'caribische', 'eilanden', 'woonde', 'dikke', 'boeken', 'caribische', 'historie', 'wijdde', 'geschiedenis', 'curaçao', 'acht', 'procent', 'periode', 'gen', 'slavenhandel', 'acht', 'procent', 'ging', 'bovendien', 'vooral', 'organisatie', 'slavenhandel', 'mensenhandel', 'west-', 'noch', 'gebied', 'indische', 'onderwerpen', 'wetenschappelijke', 'emancipatie', 'jaren', 'zeventig', 'tachtig', 'begon', 'geschiedwetenschap', 'ren', 'voornamelijk', 'eurocentrische', 'nationalistische', 'witte', 'mannen', 'verschillende', 'universiteiten', 'naast', 'langer', 'bestaande', 'vakken', 'koloniale', 'niet-westerse', 'geschiedenis', 'bestudeerd']"
