file_path,chunk_uid,raw_text,sentence_count,token_count,doc_type,year,document_folder,filename
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00000,"— STAAT EN SLAVERNIJ —
aan voor haar aandeel in de praktijken die wereldwijd de slavernij in
stand hielden. Aan dat inzicht en dat berouw is een decennialang proces van
­bewustwording – op gang gebracht en bevorderd door activisme van
­herinneringsgemeenschappen – voorafgegaan. Dit is de laatste jaren in
een stroomversnelling beland. Zo werden in de Tweede Kamer op 8 juli
2021 maar liefst zes moties ingediend die betrekking hadden op het
slavernij­verleden. In de betreffende moties werd onder meer opgeroepen
om excuses aan te bieden voor het slavernijverleden en 1 juli als nationale
herdenkingsdag en feestdag te erkennen. In een aangenomen motie van
Don Ceder en anderen werd verzocht om een onafhankelijk onderzoek uit
te voeren naar het Nederlandse slavernijverleden. Het doel: inzicht krijgen
in het slavernijverleden en de doorwerkingen ervan (‘wat’), vaststellen wie
de betrokkenen waren (‘wie’) en welke uiteenlopende effecten slavernij
had (‘hoe’) om zo ‘te komen tot een proces dat de maatschappelijke een­
heid binnen het Koninkrijk der Nederlanden versterkt’.1 Staat en slavernij:
het Nederlandse koloniale slavernijverleden en zijn doorwerkingen is het resultaat
van deze motie. De hier opgenomen teksten laten zien hoe de Nederlandse
staat en zijn voorlopers betrokken waren bij het koloniale slavernij­
verleden en staat stil bij de doorwerking ervan in het heden. Dit boek brengt de bestaande kennis van het slavernijverleden en zijn
doorwerkingen samen, weegt deze en houdt ze tegen het licht. Waarom
weten we over sommige aspecten van het slavernijverleden en zijn door­
werkingen eigenlijk zoveel meer dan over andere? Dit boek wil niet alleen
zichtbaar maken wat we weten, maar ook hoe die kennis is gevormd, en
wat dus relevante vervolgvragen en onderzoeksonderwerpen zijn om tot
een beter inzicht te komen in het Nederlandse koloniale slavernijverleden. Staat en slavernij verkent waar Nederlandse koloniale betrokkenheid bij
­slavernij en slavenhandel bestond, van het Atlantisch gebied, de Indone­
sische archipel en de Indische Oceaan tot in Nederland zelf. Slavernij
kwam in grote delen van het Nederlandse koloniale rijk voor, en over een
zeer lange periode. Door deze gebieden en verschillende periodes samen
te onderzoeken worden de overeenkomsten en verschillen duidelijk. Ook
zorgt deze aanpak ervoor dat verbindingen en uitwisselingen in geografie
en doorwerkingen in de tijd zichtbaar worden.",15,493,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00001,"Dit boek biedt dus nog niet
de veelgevraagde nieuwe en fundamentele vervolgonderzoeken die nodig
zijn voor de bestudering van de verschillende aspecten van het Nederland­
se koloniale slavernijverleden en de doorwerkingen daarvan. Daar is meer

— STAAT EN SLAVERNIJ —
­december 2022 een onafhankelijk onderzoek aan naar de rol van het
Huis Oranje-Nassau in de koloniale en postkoloniale geschiedenis. Deze onderzoeken zijn midden in de Nederlandse samenleving te
plaatsen. Ze zijn een gevolg van en geven mede vorm aan discussies over
de viering van Sinterklaas en de rol van Piet daarin, het gebruik van de
Gouden Koets, de opkomst van Keti Koti-tafels, de Black Lives Matter-be­
weging in Nederland, de toeslagenaffaire, racisme en etnisch profileren. Het Nederlandse koloniale slavernijverleden is dus zeker niet alleen
geschiedenis. Ook in de Caribische delen van het Nederlandse Koninkrijk
wordt het slavernijverleden bevraagd, zoals tijdens de jaarlijkse Tula-­
herdenking op Curaçao en als onderdeel van de toenemende discussies
rondom herstelbetaling op Curaçao, Aruba en Sint-Maarten en in Surina­
me. Daar is een decennialang proces aan voorafgegaan waarin het
slavernij­verleden en de doorwerking daarvan in Nederland, de Caribische
eilanden, Suriname en Indonesië in politieke en maatschappelijke zin
onder de aandacht is gebracht. De afgelopen jaren zijn al deze thema’s
door ­persoonlijk betrokkenen bij dat verleden en hun medestanders
nadrukkelijk op de agenda van de Nederlandse staat gezet. Op 19 decem­
ber 2022 bood het kabinet publiekelijk excuses aan voor het handelen van
de Nederlandse staat in het verleden. Postuum aan alle slaafgemaakten die
wereldwijd onder dat handelen hebben geleden, aan hun dochters en
zonen, en aan al hun nazaten tot in het hier en nu. Het ‘voorwerk’ dat in de afgelopen decennia is verzet, is met name in
het tijdperk na de excuses onverminderd relevant vanwege het gevaar
dat in de huidige stroomversnelling belangrijke inzichten over het hoofd
worden gezien, of dat dadendrang wordt gebaseerd op eenzijdige of
oppervlakkige denkbeelden. Het blijft van belang om zorgvuldig te kijken
naar wat we wel weten, maar ook zichtbaar te maken dat nog lang niet
alles goed genoeg onderzocht is om stellige uitspraken te kunnen doen.",12,489,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00002,"Staat en slavernij kan zo hopelijk bijdragen aan inzicht en bewustwording,
en misschien ook aan het creëren van ruimte voor herstel en heling in de
delen van het huidige Nederlandse koninkrijk, te weten Aruba, Curaçao,
Sint-Maarten, Bonaire, Sint-Eustatius, Saba en Nederland. De bevindin­
gen kunnen ook van betekenis zijn voor Suriname, Indonesië en andere
landen die door het Nederlandse koloniale slavernijverleden zijn geraakt. De focus van Staat en slavernij ligt op het Nederlandse koloniale slaver­
nijverleden. Dat wil zeggen dat dit boek zich richt op koloniale slavernij,
het koloniale verleden en de doorwerkingen daarvan (zoals koloniale

— INLEIDING —
dwangarbeid). De grens ligt bij het einde van het koloniale verleden: in
de hoofdstukken vinden we geen referenties aan moderne slavernij. De
hier bedoelde slavernij kan worden gedefinieerd als een extreme vorm van
individuele onvrijheid en gedwongen arbeid waarin zowel de persoon als
de arbeid van de slaafgemaakte als eigendom wordt geclaimd. Systemen
van slavernij bestaan in verschillende vormen al duizenden jaren op vele
plekken in de wereld. Met de verwijzing naar het koloniale slavernij­
verleden worden de vormen van slavernij bedoeld die voortkwamen uit de
Europese koloniale expansie van de vijftiende tot het einde van de negen­
tiende eeuw. Die leidde tot een ongekende schaalvergroting van slaven­
handel en slavernij, waarbij Afrikanen, Aziaten en anderen tot eigendom
werden gemaakt en als goederen werden verhandeld in een door Europese
koloniale overheden georganiseerd juridisch systeem. Ook in de koloniale
gebieden die onder het bewind van (voorlopers van) de Nederlandse staat
stonden werden op grote schaal mensen van hun vrijheid beroofd, tot slaaf
gemaakt en tot arbeid gedwongen. Slavernij bestond naast, en in combina­
tie met, andere vormen van gedwongen arbeid, die ook door koloniale
overheden werden ingezet. Kenmerkend voor koloniale slavernij was dat
slaafgemaakte mensen eigendom werden van een ander mens, en konden
worden gekocht en verkocht. Zij konden geen rechten uitoefenen en had­
den geen zeggenschap over lijf en leden. De status van leven in slavernij
was in principe levenslang en ging van moeder over op kinderen. Deze
vorm van koloniale slavernij wordt in het Engels ‘chattel slavery’ genoemd
(chattel: roerend goed, bezitting).",15,480,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00003,"De vormgeving, werking en gevolgen van slavernij en slavenhandel
zijn altijd nauw verweven geweest met de bredere structuren van kolonia­
lisme waarmee de Nederlandse overheid in verschillende delen van de
wereld macht uitoefende. De betrokkenheid van de Nederlandse staat en
zijn voorlopers bij het slavernijverleden wordt in Staat en slavernij dus
steeds verkend in relatie tot de geschiedenis van kolonialisme. Daarnaast
zijn ook de geschiedenis en de doorwerkingen van slavernij met elkaar
verbonden. De impact van slavernij op politiek, economie, cultuur en
samenleving – en in het bijzonder op slaafgemaakten en andere betrokke­
nen – begon al tijdens de totslaafmaking in Afrika, werd versterkt tijdens
de ­slavernijperiode, en werkte ook daarna nog door. Overal waar we in dit boek spreken van ‘de staat’ bedoelen we tevens
de voorlopers van de Nederlandse overheid. En als we het hebben over
het slavernijverleden hebben we het dus ook over de doorwerkingen. — STAAT EN SLAVERNIJ —
De doorwerkingen worden in Staat en slavernij op twee manieren opgevat:
ten eerste als manieren waarop koloniale slavernij economisch, maat­
schappelijk, cultureel en bestuurlijk invloed heeft uitgeoefend op mens en
samenleving vanaf de periode van de wettelijk toegestane slavenhandel en
slavernij tot in de negentiende, twintigste en eenentwintigste eeuw. Ten
tweede heeft het betrekking op de hedendaagse omgang met dat koloniale
slavernijverleden, de langdurige gevolgen en voortdurende effecten ervan. In beide genoemde vormen van doorwerking zijn de afterlives van slavernij
duidelijk zichtbaar, even vaak zijn ze verweven geraakt met doorwerkin­
gen van andere aspecten van kolonialisme. De complexiteit van de wisselwerking tussen de geschiedenis van sla­
vernij, het kolonialisme en de doorwerking vormt in dit boek een rode
draad. De grote en langdurige stiltes die ooit bestonden rond de latere
gevolgen van deze geschiedenissen zijn in het publieke domein eindelijk
doorbroken door de inzet van activisten uit kringen van nazaten van het
slavernijverleden en koloniaal verleden, wetenschappers en intellectuelen. Maar het verdiepen en verbreden van kennis, bewustwording en begrip
ten aanzien van slavernij en haar effecten is een proces dat tijd vergt. De
samenleving staat wat betreft de ontwikkeling van kennis, (her)interpreta­
tie, verwerking en omgang met dat verleden en zijn doorwerkingen in
veel opzichten nog slechts aan het begin.",13,500,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00004,"◼◼ ◼◼ Terminologie
Bij het bestuderen van het koloniale verleden is het cruciaal om perspec­
tieven en terminologie kritisch te beschouwen, zoals het onderscheid
­tussen ‘legaliteit’ en ‘illegaliteit’. Slavenhandel en slavernij werden wette­
lijk mogelijk gemaakt door een koloniaal rechtssysteem dat legitimiteit
verleende aan een maatschappelijke structuur waarin structureel ongelijk­
waardige posities tussen kolonisator en gekoloniseerde waren vastgelegd. Het koloniale recht verschafte zo de juridische onderbouwing voor een
maatschappelijke ordening waarin slaafgemaakten niet als volwaardige
mensen werden beschouwd en geen status als persoon en burger hadden,
maar als goederen werden gekocht en verkocht. De aanname dat slavernij
tot de wettelijke afschaffing ervan in 1860 en 1863 vanuit juridisch oog­
punt bezien was toegestaan en daarom ‘in de context van de tijd’ zou
­moeten worden beoordeeld, verhult dat dit koloniale rechtssysteem bij
uitstek een van de machtsmiddelen was waarmee de koloniale organi-
saties die optraden namens de Nederlandse staat de levens van mensen

— INLEIDING —
verregaand controleerden en disciplineerden. Met slavernij definieerden
koloniale overheden wie tot bezit mocht worden gereduceerd en wie niet. Met koloniale corvee- en cultuurstelsels werd bepaald wie als koloniale
onderdaan voor dwangarbeid kon worden opgeroepen. Ook nadat
­slavernij, het cultuurstelsel en later de zogenaamde herendiensten werden
afgeschaft, verschafte het koloniale juridische systeem zodoende de lega­
listische onderbouwing voor geracialiseerde ongelijkheid tussen mensen. In de gewelddadige geschiedenissen van slavernij en kolonialisme zijn
veel aanduidingen en begrippen gangbaar (geweest) die een koloniaal
stempel dragen. Met andere woorden: het perspectief van de kolonisator
als machthebbende is vaak doorslaggevend geweest in de wijze waarop
werd geschreven over mensen, gebieden, talen en leefwijzen in ambtelijke,
maar ook informele documenten die in koloniale archieven zijn overgele­
verd. Dat geldt ook voor romans, schilderkunst, muziek en andere kunst­
vormen. Die vormen niet per definitie een afspiegeling van de realiteit,
maar kunnen juist beelden reflecteren die ten dienste stonden van het
koloniale bestuur.",11,461,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00005,"Zo waren woorden als ‘neger’, ‘koelie’, ‘inlander’ en
‘kettingbeer’ binnen een koloniaal bestel gebruikelijk, maar wordt vanuit
dekoloniaal perspectief zichtbaar dat dit bepaald geen neutrale en on­-
problematische termen waren, vanwege hun verregaand denigrerende
en bijzonder subjectieve aard. In dit boek is gestreefd naar het gebruik van woorden die koloniale
connotaties zo min mogelijk reproduceren en het eigen perspectief van
zelfbenoeming door personen, landen of regio’s zoveel mogelijk respecte­
ren. Dat is gedaan in het volle besef dat ook de Nederlandse taal nog altijd
in ontwikkeling is, dat woorden nauw verweven zijn aan de perspectieven
van auteurs, en dat posities daarin niet vastliggen. Om ruimte te geven aan
hun diversiteit wat betreft achtergrond en benadering heeft de redactie de
keuze voor de te hanteren terminologie aan de auteurs gelaten. In Staat en
slavernij zijn daardoor verschillen in schrijfstijl en woordkeuze te vinden. Die diversiteit levert een afwisselend palet op, en daarmee worden tevens
verschillende perspectieven zichtbaar, die zich soms expliciet en soms
genuanceerd doen gelden ten aanzien van het verleden en zijn doorwer­
kingen. Zo wordt in vrijwel het hele boek de term ‘slaafgemaakte’
gebruikt, omdat daarin in tegenstelling tot het woord ‘slaaf’ de erkenning
besloten ligt dat de dwang waaraan deze mensen werden onderworpen
geen natuurlijke positie of situatie betreft. Hoewel de afgelopen jaren
levendige en felle discussies zijn gevoerd over de wens en noodzaak om de

— STAAT EN SLAVERNIJ —
term ‘slaafgemaakte’ of juist ‘slaaf’ te gebruiken, lijkt de balans inmiddels
te zijn doorgeslagen ten faveure van de eerste. Hetzelfde geldt voor het
woord ‘wit’, als alternatief voor ‘blank’, dat voor velen de gevoelswaarde
van ten onrechte veronderstelde zuiverheid en superioriteit met zich
­meebrengt. In de journalistieke en academische wereld, met name in de Verenigde
Staten, maken sommigen onderscheid tussen ‘Zwart’ met en ‘zwart’
­zonder hoofdletter.",10,438,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00006,"Persagentschap Associated Press (ap), heeft er bijvoor­
beeld voor gekozen om met Zwart te verwijzen naar een raciale, etnische
of culturele entiteit, gebaseerd op een gedeeld besef van geschiedenis,
identiteit en gemeenschap van personen die zich identificeren als Zwart,
met inbegrip van degenen in de Afrikaanse diaspora en de inwoners van
Afrika. Wordt zwart geschreven met een kleine letter, dan duidt ap daar­
mee de kleur zwart aan, niet een persoon.2 In Nederland is de discussie
hierover (nog) nauwelijks gevoerd. In Staat en slavernij zijn beide schrijf­
wijzen terug te vinden. Meer concreet in dit boek is de omgang met geografische en andere
aanduidingen waarvan de wortels terug te voeren zijn op het koloniale
verleden. Bijvoorbeeld het gebruik van ‘de Oost’ en ‘Oost-Indië’ voor
­Indonesië, en ‘de West’ en ‘West-Indië’ voor Suriname, Curaçao, Bonaire,
Aruba, Sint-Eustatius, Saba en Sint-Maarten. Sommige auteurs gebruiken
deze doelbewust niet omdat het een ‘neerlandocentrisch’ perspectief
­weergeeft. De eerder genoemde ruimte die auteurs wordt geboden houdt
ook in dat in Staat en slavernij nu eens over de ‘lokale’ bevolking wordt
geschreven, dan weer over de ‘oorspronkelijke’ bevolking en ten slotte
ook over de ‘inheemse’ bevolking. Het gebruik van termen luistert nauw. Terwijl voor sommigen de term ‘inheems’ problematisch is omdat die een
koloniale zienswijze impliceert, gebruiken anderen datzelfde begrip juist
bewust om de zichtbaarheid van bepaalde bevolkingsgroepen te bevorde­
ren en een politieke strijd te voeren. De keuze voor specifieke termen
hangt dus samen met de context. Zo ligt bijvoorbeeld het gebruik van de
term ‘genocide’ buiten de context van de slachtoffers van het naziregime
gevoelig. Tegelijkertijd is het onmiskenbaar dat de komst van Europese
en ook Nederlandse kolonisatoren in Noord- en Zuid-Amerika en Azië
gepaard ging met veroveringen van land, het verdrijven van de lokale
bewoners én systematische ontvolkingen ten behoeve van de productie
van koloniale waren. Daarom is het uitmoorden door gouverneur-­
generaal Jan Pieterszoon Coen van vrijwel de gehele bevolking van

— STAAT EN SLAVERNIJ —
bestaand werk opgenomen.",13,486,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00007,"Het verzoek was ingegeven door het besef
dat – zeker als het gaat om een sensitieve geschiedenis als het koloniale
slavernijverleden – woorden van groot belang zijn, maar dat ze ook tekort
­kunnen schieten. Waar tekst niet (meer) voldoet, kan het domein van de
kunst andere perspectieven op het slavernijverleden presenteren. Een
korte toelichting waarin de kunstenaars op hun creatie reflecteren is te
vinden bij het betreffende kunstwerk. De negenentwintig hoofdstukken verkennen belangrijke deelterreinen
van de doorwerking en het verleden van de Nederlandse koloniale slaver­
nij. De wetenschap is op al deze deelterreinen niet in gelijke mate ontwik­
keld. Waar veel onderzoek is gedaan is het van belang dat de stand van
kennis kritisch wordt bevraagd op de mate van zekerheid, de gehanteerde
perspectieven, mogelijke blinde vlekken of onderontwikkelde deel­
thema’s. Voor deelgebieden waar nog maar weinig onderzoek is gedaan
is het soms belangrijker om te bespreken waarom deze kennis onder­
ontwikkeld is gebleven, welke veronderstellingen er rond bepaalde
­thema’s bestaan, welke inzichten afgeleid kunnen worden uit onderzoeks­
resultaten die wel beschikbaar zijn, en wat belangrijke vragen, (nieuwe)

Alex van Stipriaan
1. De Nederlandse
wetenschap en overheid
over het slavernijverleden
en zijn doorwerkingen
In 1934 publiceerde Anton de Kom zijn inmiddels beroemde Wij slaven van
Suriname. Vlak daarvoor werd hij na een korte gevangenschap verbannen
uit Suriname naar Nederland. Daar werd hij van overheidswege zo zeer
tegengewerkt dat hij uiteindelijk getraumatiseerd enige tijd in een
­psychiatrische inrichting moest worden opgenomen. Zo’n drie generaties
later, in 2020, is De Kom toegevoegd aan de nationale historische Canon
van Nederland. De commissie die de canon samenstelt is benoemd door
de overheid en de canon is leidend voor het geschiedenisonderwijs. Het
lijkt daarmee of de overheid een nieuwe, meer inclusieve houding ten
­aanzien van het slavernijverleden aan het ontwikkelen is. De weg daarheen zat echter vol haarspeldbochten en slipgevaar. Net zo
goed kan de ontwikkeling van de manier waarop de Nederlandse overheid
is omgegaan met het slavernijverleden en de doorwerkingen daarvan wor­
den getypeerd als onbetrouwbaar, wegkijkend, niet betrokken en sterk
afhankelijk van de politieke wind.",15,478,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00008,"De krampachtige aanloop naar excuses
voor het slavernijverleden door de Nederlandse regering in december 2022
en de paternalistische houding die zij aannam toen het besluit daarover
uiteindelijk was genomen, zijn daarvan een ultieme illustratie. Tegelijk kijken overheden ook naar wat de wetenschap te zeggen heeft
over het slavernijverleden. Maar ‘de’ wetenschap bestaat niet en verandert
bovendien voortdurend. Debat vormt nu eenmaal haar basis. Hoe weten­
schap en overheid in Nederland zich in de twintigste en eenentwintigste
eeuw hebben verhouden tot het slavernijverleden is daarom niet een­
voudig te beschrijven en is vooral gebaat bij nuancering, definiëring en
afbakening. — STAAT EN SLAVERNIJ —
◼◼ ◼◼ Geschiedwetenschap
Het Nederlands slavernijverleden heeft zich afgespeeld in de Amerika’s,
Afrika, Azië en in Nederland. Dat was een geïntegreerd systeem, maar met
grote lokale verschillen. De aandacht van historici voor het slavernij­
verleden is zeer onevenwichtig over deze gebieden verdeeld (geweest)
en in de loop der tijd ook sterk van inhoudelijke focus veranderd. Tot aan de jaren zeventig werd slavernij in Nederlandse geschiedschrij­
ving altijd in verband gebracht met de West-Indische Compagnie (wic) en
soms met de Verenigde Oost-Indische Compagnie (voc). Voor de wic is
mensenhandel lang een van de kernactiviteiten geweest. Koloniën onder
wic-beheer waren geheel op slavenarbeid gebaseerd en slaafgemaakten
vormden hier de meerderheid van de bevolking. Daardoor is in de
geschiedschrijving mensenhandel en slavernij vooral gekoppeld aan het
Atlantisch gebied. Bij de voc bleef slavernij vooral een soort voetnoot bij
een verder glorieuze geschiedenis ‘waarin een klein landje groot kan zijn’. Bovendien werd lang gedacht dat de slavernij in het Aziatische gebied
vooral een aangelegenheid van de lokale bevolking was. Alleen met betrek­
king tot de Indonesische Banda-eilanden werd ook over slavenarbeid
gesproken. Binnen de trans-Atlantische driehoek (de handel of vaart tussen
­Europa, Amerika en Afrika) is de meeste historische aandacht uitgegaan
naar de slavernij in Suriname.",16,451,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
C:\Users\Home\policy-analysis\PDF sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,0cd00362:00009,"Er was aandacht voor de kortstondige
Nederlandse aanwezigheid in Noordoost-Brazilië, maar nauwelijks voor
de slavernij in de Nederlandse Cariben, Nieuw-Nederland (het Neder­
lands koloniaal gebied in Noord-Amerika, rond New York) en Demerara,
Essequibo en Berbice (het huidige Guyana). Westelijk Afrika kwam alleen
in beeld als inschepingsplaats van slaafgemaakten. Nederland was in
dit verhaal alleen hoofdkantoor van de wic en voc en stapelmarkt voor
tropische producten. Tot aan de jaren tachtig ging de geschiedschrijving vooral over de
­mensenhandel als economische en – daarmee samenhangend – geopolitie­
ke activiteit, bezien vanuit een volkomen neerlandocentrisch perspectief. Wat over de slavernij en de betrokken gebieden zelf werd verteld was de
geschiedenis van de (koloniale) elite. Slaafgemaakten vormden één amor­
fe, gezichtsloze, economisch-politieke categorie. Ook over de afschaffing
van de ­slavernij, het andere thema waar vanaf de jaren vijftig sporadisch
over werd gepubliceerd, werd vanuit een Nederlandocentrisch perspectief
geschreven. Twee zeer vroege uitzonderingen op die regel kwamen van

— ACTUELE VRAAGSTUKKEN —
Surinamers: het werk van Anton de Kom uit de jaren dertig en het proef­
schrift van Rudolf van Lier uit 1949. Historicus Johan Hartog, die bijna
vier decennia op de Caribische eilanden woonde en dikke boeken over de
Caribische historie schreef, wijdde in zijn geschiedenis van Curaçao nog
geen acht procent van de 640 pagina’s die de periode tot aan 1863 besloe­
gen aan slavenhandel en slavernij. Die acht procent ging bovendien vooral
over de organisatie van de slavenhandel en slavernij. Mensenhandel en
­slavernij in West- en Zuid-Afrika, noch in het gebied van de Indische
­Oceaan, waren onderwerpen voor historici. ◼◼ ◼◼ Wetenschappelijke emancipatie
In de jaren zeventig en tachtig begon de geschiedwetenschap te emancipe­
ren uit het voornamelijk eurocentrische en nationalistische ‘grote witte
mannen en hun oorlogen’-verhaal. Aan verschillende universiteiten kon,
naast al langer bestaande vakken over koloniale geschiedenis, nu ook
niet-westerse geschiedenis bestudeerd worden.",13,480,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf,,,Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.pdf
