term,term_freq,doc_freq
nederlandse,2108,1084
nederland,1900,967
slavernij,1831,775
slaven,1482,479
tweede,1478,615
mensen,1371,783
kamer,1352,331
wel,1277,924
tussen,1172,833
werden,1152,695
koloniale,1088,524
zoals,1038,819
alle,998,780
den,970,574
waar,934,724
eerste,906,670
onderzoek,896,525
ten,894,696
jaar,887,652
alleen,879,713
moeten,860,574
nieuwe,858,623
staat,841,668
slavenhandel,825,400
aantal,807,586
verschillende,779,598
slaafgemaakten,762,345
racisme,758,285
eilanden,734,381
binnen,686,520
maken,686,547
caribisch,681,340
eigen,667,508
grote,661,535
vaak,647,487
deel,637,521
twee,634,514
eeuw,625,432
sint,604,254
suriname,603,362
regering,597,274
goed,588,482
jaren,580,466
zwarte,580,275
vooral,571,469
verder,566,478
volgens,566,402
motie,563,133
medewerkers,562,167
steeds,555,445
per,541,375
waarin,538,471
slaaf,532,327
gaat,529,431
hadden,528,390
zouden,520,389
sociale,518,345
discriminatie,517,202
lokale,509,318
minister,483,233
ii,480,160
miljoen,478,210
tijd,476,404
zelfs,470,391
komen,469,405
gaan,469,387
soms,466,344
drie,466,368
minder,462,376
wet,462,245
mogelijk,455,368
geschiedenis,452,316
afschaffing,450,259
basis,445,372
zaken,443,356
geïnformeerd,443,153
via,441,345
vraag,440,342
nederlanders,434,279
welke,426,307
aandacht,425,339
vanuit,425,356
plaats,425,364
weinig,423,341
zorg,423,200
slavernijverleden,422,231
zien,422,361
hen,422,350
rol,421,354
wij,413,225
europese,412,317
zowel,411,363
ministerie,410,258
kwam,409,343
saba,409,229
afrika,409,231
gebied,405,343
komt,393,342
kinderen,392,243
laten,389,346
konden,388,310
leven,386,323
utrecht,385,164
werk,382,314
geven,381,334
daarnaast,381,332
toe,381,307
tijdens,380,297
bonaire,375,200
curaçao,370,213
afrikaanse,369,235
land,369,272
groot,368,335
onderwijs,368,158
wanneer,368,287
eustatius,368,210
ter,366,310
koloniën,364,278
verzoekt,357,94
vrouwen,355,225
handel,352,260
zullen,349,266
gemaakt,346,309
bevolking,345,254
daarmee,344,325
vanaf,343,295
nederlands,341,256
weer,338,296
excuses,335,127
daarom,333,305
burgers,333,202
verleden,332,229
mee,332,288
voc,331,162
elkaar,328,270
beeld,327,277
geval,325,298
amsterdam,324,206
sprake,321,253
samen,317,290
onze,316,214
europees,316,179
af,314,280
lid,314,173
heel,313,263
daarbij,313,259
beter,310,273
overheid,310,227
zeer,309,268
vormen,309,254
bovendien,309,282
economische,309,229
kamerstukken,308,106
vrijheid,306,225
belang,303,256
één,303,267
middelen,303,192
periode,302,265
lang,299,267
wic,299,141
gebruik,298,243
later,297,272
